id,company_id,name,clid,color,color_id,status,managers,placements
5908,1525,09.3.3_Группа обслуживания и развития 1С ERP,nan,#D1F3FF,1,1,[],[]
7632,1525,11.4_Отдел по связям с общественностью,nan,#D1F3FF,1,1,[],[]
7385,1525,1. Юридическая служба,nan,#D1F3FF,1,1,[],[]
7330,1525,07.3_Производственная мастерская,nan,#D1F3FF,1,1,[],[]
7337,1525,09.3.4_Группа обслуживания и развития 1С ЗУП и ДО,nan,#D1F3FF,1,1,[],[]
7368,1525,09.3.3_Группа 1С,nan,#D1F3FF,1,1,[],[]
7392,1525,01.1.31_Отдел контроля магазина Петропавловск Камчатский-1,nan,#D1F3FF,1,1,[],[]
7366,1525,03.1_Отдел подбора персонала (офис/РЦ),nan,#D1F3FF,1,1,[],[]
4718,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
5909,1525,09.3.3_Группа обслуживания и развития 1С ERP,nan,#D1F3FF,1,1,[],[]
3018,1525,03.4.2_Группа по подбору персонала (розница),nan,#D1F3FF,1,1,[],[]
3022,1525,07.4_Отдел производственно-технического обеспечения,nan,#D1F3FF,1,1,[],[]
3026,1525,07.4.3_Группа строительства и запуска магазинов,nan,#D1F3FF,1,1,[],[]
3030,1525,01.1_Служба по предотвращению потерь,nan,#D1F3FF,1,1,[],[]
3038,1525,05.1.1_Группа по таможенному оформлению,nan,#D1F3FF,1,1,[],[]
3042,1525,05.2.2_Товарное направление Baby world,nan,#D1F3FF,1,1,[],[]
3046,1525,09.2_Проектный офис,nan,#D1F3FF,1,1,[],[]
4741,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
6097,1525,01.1.25_Отдел контроля магазина Новосибирск-1,nan,#D1F3FF,1,1,[],[]
4743,1525,02_Сотрудники магазина,nan,#D1F3FF,1,1,[],[]
3058,1525,02.1_Финансовый отдел,nan,#D1F3FF,1,1,[],[]
3062,1525,08_Департамент дистрибьюции,nan,#D1F3FF,1,1,[],[]
4767,1525,02_Сотрудники магазина,nan,#D1F3FF,1,1,[],[]
3071,1525,08.1_Финансово-административный отдел,nan,#D1F3FF,1,1,[],[]
3073,1525,02.6_Отдел планирования и бюджетного контроля,nan,#D1F3FF,1,1,[],[]
3075,1525,08.2_Отдел регионального развития Северо-запад/Центр/Поволжье,nan,#D1F3FF,1,1,[],[]
3077,1525,07.1_Отдел развития,nan,#D1F3FF,1,1,[],[]
3079,1525,05.4.2_Toys&games,nan,#D1F3FF,1,1,[],[]
3023,1525,Отдел по управлению недвижимостью,nan,#D1F3FF,1,1,[],[]
4793,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4824,1525,04.3_Сотрудники торгового зала,nan,#D1F3FF,1,1,[],[]
4840,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
3034,1525,06.2.3_Группа парковки,nan,#D1F3FF,1,1,[],[]
3100,1525,03.4.2.1_Территориальный HR-центр,nan,#D1F3FF,1,1,[],[]
3101,1525,03.5.1.1_Территориальный HR-центр,nan,#D1F3FF,1,1,[],[]
7331,1525,07.3_Производственная мастерская,nan,#D1F3FF,1,1,[],[]
4843,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
9028,1525,2б_Отдел технической поддержки,nan,#D1F3FF,1,1,[],[]
4857,1525,03_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
7369,1525,09.3.3_Группа 1С,nan,#D1F3FF,1,1,[],[]
3050,1525,03.2.2_Общий отдел,nan,#D1F3FF,1,1,[],[]
4783,1525,01_Администрация магазина БЛВ-1,nan,#D1F3FF,1,1,[],[]
4753,1525,02_Отдел управления ассортиментом и запасами магазина БЕЛ-1,nan,#D1F3FF,1,1,[],[]
3069,1525,4.1.2_Группа по управлению запасами РЦ,nan,#D1F3FF,1,1,[],[]
4759,1525,02_Отдел управления ассортиментом и запасами магазина БЕЛ-2,nan,#D1F3FF,1,1,[],[]
4775,1525,03_Служба торгового зала БРБ-1,nan,#D1F3FF,1,1,[],[]
4832,1525,03_Служба торгового зала ЕКТ-2,nan,#D1F3FF,1,1,[],[]
